State,Latitude,Longitude,1945,1949,1954,1959,1964,1969,1974,1978,1982,1987,1992,1997,2002,2007,2012,2017 
  Maine ,45.709097,-68.8590201," 1,490 "," 1,407 "," 1,274 "," 1,186 "," 1,002 ", 735 , 653 , 689 , 629 , 577 , 591 , 466 ,478,  462 ,  390 ,  415 
  New Hampshire,43.4849133,-71.6553992, 509 , 451 , 385 , 360 , 256 , 198 , 174 , 198 , 166 , 147 , 143 , 112 ,108,  103 ,  93 ,  101 
  Vermont,44.5990718,-72.5002608," 1,281 "," 1,156 "," 1,072 ", 988 , 883 , 867 , 812 , 862 , 784 , 655 , 585 , 484 ,589,  487 ,  412 ,  435 
  Massachusetts,42.3788774,-72.032366, 703 , 624 , 561 , 467 , 369 , 288 , 264 , 310 , 282 , 271 , 230 , 211 ,196,  169 ,  148 ,  164 
  Rhode Island,41.7962409,-71.5992372, 81 , 80 , 69 , 53 , 46 , 32 , 29 , 36 , 37 , 29 , 26 , 30 ,25,  22 ,  25 ,  19 
  Connecticut,41.6500201,-72.7342163, 530 , 498 , 467 , 358 , 299 , 252 , 234 , 250 , 235 , 207 , 188 , 166 ,152,  136 ,  123 ,  111 
  New York,40.7127281,-74.0060152," 8,367 "," 8,485 "," 7,864 "," 6,978 "," 6,626 "," 6,276 "," 6,085 "," 6,181 "," 5,900 "," 5,254 "," 4,568 "," 4,112 ","4,494","  4,140 ","  4,247 ","  4,125 "
  New Jersey,40.0757384,-74.4041622," 1,136 "," 1,090 "," 1,096 "," 1,006 ", 858 , 713 , 714 , 750 , 725 , 652 , 609 , 634 ,552,  479 ,  449 ,  453 
  Pennsylvania,40.9699889,-77.7278831," 8,001 "," 7,945 "," 7,399 "," 6,916 "," 6,314 "," 6,065 "," 5,930 "," 5,816 "," 5,790 "," 5,552 "," 5,161 "," 5,181 ","5,125","  5,264 ","  4,517 ","  4,755 "
  Delaware,38.6920451,-75.4013315, 564 , 535 , 519 , 574 , 533 , 533 , 546 , 536 , 559 , 549 , 488 , 451 ,454,  423 ,  438 ,  427 
  Maryland,39.5162401,-76.9382069," 2,364 "," 2,286 "," 2,124 "," 2,087 "," 1,987 "," 1,894 "," 1,893 "," 1,873 "," 1,847 "," 1,814 "," 1,748 "," 1,555 ","1,527","  1,279 ","  1,377 ","  1,429 "
  Michigan,43.6211955,-84.6824346," 11,210 "," 11,044 "," 10,836 "," 10,470 "," 9,867 "," 8,682 "," 8,345 "," 8,665 "," 8,814 "," 8,381 "," 8,623 "," 8,304 ","8,060","  8,014 ","  7,766 ","  7,422 "
  Wisconsin,44.4308975,-89.6884637," 12,682 "," 12,905 "," 12,766 "," 12,502 "," 12,367 "," 12,270 "," 11,866 "," 12,239 "," 12,044 "," 10,590 "," 10,385 "," 9,561 ","10,779","  10,203 ","  10,071 ","  9,646 "
  Minnesota  ,45.9896587,-94.6113288," 22,292 "," 22,461 "," 22,295 "," 22,523 "," 22,736 "," 23,380 "," 23,906 "," 24,243 "," 24,183 "," 23,422 "," 23,511 "," 22,839 ","23,264","  22,342 ","  22,452 ","  21,845 "
  Ohio,40.2253569,-82.6881395," 13,302 "," 13,378 "," 13,054 "," 12,427 "," 12,035 "," 12,584 "," 12,705 "," 12,558 "," 12,246 "," 12,373 "," 11,885 "," 12,026 ","11,530","  10,923 ","  10,829 ","  10,819 "
  Indiana,40.3270127,-86.1746933," 13,540 "," 13,827 "," 13,877 "," 14,198 "," 13,755 "," 14,071 "," 14,079 "," 14,030 "," 13,958 "," 13,641 "," 13,404 "," 13,689 ","13,027","  12,747 ","  12,710 ","  12,684 "
  Illinois,40.0796606,-89.4337288," 23,583 "," 23,944 "," 24,050 "," 23,864 "," 24,165 "," 25,466 "," 25,010 "," 25,493 "," 25,245 "," 25,197 "," 25,585 "," 24,925 ","24,531","  24,056 ","  23,934 ","  23,832 "
  Iowa,41.9216734,-93.3122705," 24,942 "," 26,050 "," 26,170 "," 26,551 "," 26,623 "," 28,398 "," 28,189 "," 28,719 "," 28,534 "," 27,981 "," 28,602 "," 27,911 ","27,556","  26,730 ","  26,714 ","  26,728 "
  Missouri,38.7604815,-92.5617875," 16,857 "," 18,757 "," 18,117 "," 18,050 "," 18,172 "," 21,450 "," 20,481 "," 20,961 "," 20,438 "," 20,444 "," 20,132 "," 20,013 ","19,085","  16,561 ","  15,627 ","  15,207 "
  North Dakota,47.6201461,-100.540737," 25,103 "," 27,628 "," 27,872 "," 28,275 "," 27,914 "," 30,187 "," 30,298 "," 29,618 "," 29,496 "," 29,427 "," 29,622 "," 28,818 ","27,686","  27,676 ","  27,120 ","  27,461 "
  South Dakota,44.6471761,-100.348761," 18,503 "," 19,821 "," 19,692 "," 19,070 "," 18,965 "," 20,844 "," 19,680 "," 19,294 "," 20,392 "," 21,618 "," 20,382 "," 21,765 ","21,066","  19,853 ","  19,356 ","  19,618 "
  Nebraska,41.7370229,-99.5873816," 23,428 "," 23,777 "," 23,269 "," 23,637 "," 22,275 "," 23,379 "," 23,410 "," 23,317 "," 24,179 "," 24,225 "," 24,103 "," 23,555 ","22,764","  21,612 ","  21,857 ","  22,239 "
  Kansas,38.27312,-98.5821872," 28,436 "," 29,440 "," 30,210 "," 30,072 "," 29,689 "," 32,827 "," 31,625 "," 30,674 "," 32,902 "," 34,343 "," 32,495 "," 33,708 ","30,461","  28,548 ","  28,592 ","  29,270 "
  Virginia,37.1232245,-78.4927721," 5,792 "," 5,789 "," 4,886 "," 4,427 "," 4,080 "," 4,925 "," 4,690 "," 4,783 "," 4,753 "," 4,613 "," 4,436 "," 4,340 ","4,168","  3,251 ","  2,989 ","  2,837 "
  West Virginia,38.4758406,-80.8408415," 1,974 "," 2,354 "," 1,835 "," 1,521 "," 1,238 "," 1,763 "," 1,617 "," 1,611 "," 1,549 "," 1,419 "," 1,386 "," 1,411 ","1,208",  921 ,  781 ,  829 
  North Carolina,35.6729639,-79.0392919," 7,602 "," 7,699 "," 7,264 "," 7,358 "," 6,154 "," 6,480 "," 6,576 "," 6,571 "," 6,436 "," 6,001 "," 5,935 "," 5,890 ","5,199","  4,843 ","  4,473 ","  4,673 "
  Kentucky,37.5726028,-85.1551411," 10,399 "," 11,601 "," 10,641 "," 8,536 "," 9,437 "," 9,810 "," 9,397 "," 9,846 "," 9,518 "," 9,625 "," 9,702 "," 8,860 ","8,353","  7,621 ","  6,369 ","  6,573 "
  Tennessee,35.7730076,-86.2820081," 9,273 "," 9,920 "," 9,096 "," 8,148 "," 7,974 "," 8,652 "," 8,376 "," 8,448 "," 8,113 "," 7,793 "," 7,677 "," 7,491 ","7,084","  6,019 ","  5,261 ","  5,055 "
  South Carolina,33.6874388,-80.4363743," 5,187 "," 5,387 "," 4,891 "," 4,541 "," 3,706 "," 3,663 "," 3,565 "," 3,604 "," 3,398 "," 3,192 "," 3,059 "," 2,532 ","2,326","  2,001 ","  1,904 ","  1,966 "
  Georgia,32.3293809,-83.1137366," 10,643 "," 10,487 "," 9,009 "," 7,458 "," 6,381 "," 7,103 "," 7,148 "," 7,161 "," 7,124 "," 6,431 "," 6,528 "," 7,329 ","5,045","  4,619 ","  4,385 ","  4,501 "
  Florida,27.7567667,-81.4639835," 2,877 "," 3,324 "," 3,443 "," 3,044 "," 3,582 "," 3,773 "," 4,198 "," 4,497 "," 4,174 "," 3,864 "," 3,927 "," 3,650 ","3,716","  2,760 ","  2,834 ","  2,865 "
  Alabama,33.2588817,-86.8295337," 8,266 "," 8,721 "," 7,481 "," 6,028 "," 5,211 "," 5,885 "," 5,797 "," 5,888 "," 5,642 "," 4,803 "," 4,539 "," 4,471 ","3,737","  3,104 ","  2,806 ","  2,811 "
  Mississippi,32.9715285,-89.7348497," 8,285 "," 8,972 "," 7,805 "," 7,183 "," 6,655 "," 8,394 "," 8,709 "," 8,542 "," 8,021 "," 7,792 "," 7,419 "," 6,464 ","6,063","  5,556 ","  5,174 ","  5,116 "
  Arkansas,35.2048883,-92.4479108," 8,772 "," 9,654 "," 8,863 "," 8,570 "," 8,571 "," 10,202 "," 10,286 "," 10,811 "," 10,506 "," 10,188 "," 10,426 "," 10,082 ","9,645","  8,240 ","  8,235 ","  8,018 "
  Louisiana,30.8703881,-92.007126," 5,135 "," 5,657 "," 5,494 "," 5,055 "," 5,012 "," 5,962 "," 6,059 "," 6,597 "," 6,451 "," 5,908 "," 5,894 "," 5,485 ","5,338","  4,435 ","  4,585 ","  4,624 "
  Oklahoma,34.9550817,-97.2684063," 16,963 "," 16,016 "," 14,774 "," 15,096 "," 13,540 "," 16,036 "," 15,831 "," 15,078 "," 15,445 "," 15,874 "," 16,014 "," 16,336 ","15,229","  12,840 ","  11,290 ","  11,636 "
  Texas,31.2638905,-98.5456116," 34,860 "," 37,970 "," 37,346 "," 38,820 "," 35,906 "," 40,007 "," 37,938 "," 40,764 "," 39,121 "," 36,463 "," 39,059 "," 40,040 ","40,441","  34,115 ","  29,215 ","  29,019 "
  Montana,47.3752671,-109.638757," 11,319 "," 13,928 "," 15,005 "," 15,243 "," 15,661 "," 16,493 "," 16,021 "," 16,327 "," 16,839 "," 18,264 "," 18,520 "," 18,573 ","18,118","  17,867 ","  16,605 ","  15,341 "
  Idaho,43.6447642,-114.015407," 4,589 "," 5,230 "," 5,540 "," 5,821 "," 5,982 "," 6,166 "," 6,395 "," 6,632 "," 6,603 "," 6,963 "," 6,677 "," 5,766 ","6,408","  5,980 ","  5,801 ","  5,896 "
  Wyoming,43.1700264,-107.568534," 2,220 "," 2,712 "," 2,582 "," 2,768 "," 2,836 "," 2,813 "," 2,730 "," 2,916 "," 2,778 "," 2,948 "," 3,056 "," 3,080 ","2,860","  2,218 ","  1,986 ","  2,351 "
  Colorado,38.7251776,-105.607716," 8,557 "," 11,028 "," 11,257 "," 11,846 "," 11,341 "," 11,105 "," 10,959 "," 10,818 "," 10,870 "," 11,912 "," 11,682 "," 11,415 ","12,044","  11,428 ","  10,668 ","  10,870 "
  New Mexico,34.5802074,-105.996047," 2,502 "," 2,839 "," 2,504 "," 2,650 "," 2,554 "," 2,351 "," 2,302 "," 2,338 "," 2,369 "," 2,439 "," 2,482 "," 2,427 ","2,671","  2,367 ","  1,948 ","  1,655 "
  Arizona,34.395342,-111.763275, 959 ," 1,266 "," 1,615 "," 1,557 "," 1,669 "," 1,665 "," 1,645 "," 1,659 "," 1,533 "," 1,547 "," 1,303 "," 1,254 ","1,235",  914 ,"  1,134 ","  1,163 "
  Utah,39.4225192,-111.714358," 1,664 "," 2,053 "," 2,037 "," 2,219 "," 2,288 "," 1,983 "," 1,996 "," 2,034 "," 1,995 "," 2,104 "," 2,108 "," 2,045 ","2,044","  1,738 ","  1,476 ","  1,474 "
  Nevada,39.5158825,-116.853722, 546 , 619 , 678 , 848 , 836 , 783 , 753 , 865 , 862 , 852 , 831 , 867 ,884,  731 ,  577 ,  569 
  Washington,38.8950368,-77.0365427," 7,132 "," 7,721 "," 7,710 "," 8,053 "," 8,185 "," 8,278 "," 8,367 "," 8,410 "," 8,480 "," 8,365 "," 8,235 "," 8,400 ","7,983","  7,626 ","  7,539 ","  7,504 "
  Oregon,43.9792797,-120.737257," 4,909 "," 5,537 "," 5,282 "," 5,474 "," 5,425 "," 5,145 "," 5,276 "," 5,247 "," 5,357 "," 5,384 "," 5,281 "," 5,339 ","5,311","  4,934 ","  4,664 ","  4,220 "
  California,36.7014631,-118.755997," 11,363 "," 13,765 "," 13,251 "," 12,607 "," 11,841 "," 10,879 "," 11,143 "," 11,721 "," 11,566 "," 11,487 "," 10,412 "," 10,628 ","10,655","  9,550 ","  9,577 ","  9,314 "